p_val	avg_logFC	pct.1	pct.2	p_val_adj
Fam83g	8.78478976977821e-23	0.402864443294799	0.459	0.191	1.17812815602496e-18
Vim	9.10779880408473e-23	0.537294987856949	0.934	0.702	1.2214468976158e-18
Fam207a	1.27676440285158e-22	0.337209776607934	0.342	0.122	1.71226874066426e-18
Col3a1	1.59152597822673e-22	-3.17411417736695	0.062	0.35	2.13439548939986e-18
Bgn	1.81774515329559e-22	-2.63895698351952	0.062	0.35	2.43777802508472e-18
Gng11	2.10007845207069e-22	0.729368112788252	0.436	0.191	2.81641521207201e-18
X2900026A02Rik	2.15868830075575e-22	0.436356655415619	0.416	0.172	2.89501688014354e-18
Tnk2	3.13464186127826e-22	0.438762366178376	0.518	0.237	4.20386820016028e-18
Cd63	3.68905022974033e-22	0.542328715270293	0.922	0.744	4.94738526310476e-18
Uba1	4.18737203173199e-22	0.583202758733612	0.763	0.52	5.61568463175577e-18
Traf4	5.69992956260837e-22	0.398021487842365	0.405	0.162	7.64417553641409e-18
Chst2	6.08622655750705e-22	0.384955148128361	0.35	0.132	8.1622384362727e-18
Sfr1	6.33665322328904e-22	0.588854643715898	0.716	0.478	8.49808563775293e-18
Gipc1	6.47470604535134e-22	0.334793364874784	0.401	0.16	8.68322827742068e-18
Ift43	7.09556146216349e-22	0.376861008772356	0.335	0.121	9.51585747690745e-18
Nme1	8.33958355363918e-22	0.698518300662338	0.685	0.44	1.11842155037855e-17
Fstl1	9.53615878829132e-22	-2.15965665704274	0.066	0.347	1.27889425509775e-17
Arhgef3	1.0977215112225e-21	0.31807379542564	0.331	0.116	1.4721543187005e-17
Pqlc3	1.34728147052076e-21	0.367217033460342	0.284	0.09	1.80683918011539e-17
Slc19a2	1.43861875414767e-21	0.312868869364173	0.265	0.082	1.92933161118744e-17
Zak	1.51339267594893e-21	0.335790504510353	0.377	0.147	2.02961091771511e-17
Uqcc2	1.56093745653472e-21	0.613731938551036	0.553	0.28	2.09337322295871e-17
Mif	1.68213093410405e-21	0.635034977309981	0.755	0.493	2.25590579572694e-17
Polr2f	1.93049816684568e-21	0.545176634567176	0.49	0.234	2.58899109155675e-17
Id2	1.94594450044447e-21	-1.6934471401436	0.198	0.471	2.60970616954607e-17
Hist1h2bc	2.42045927008934e-21	0.751788608219374	0.498	0.244	3.24607792711682e-17
Slc20a2	2.57992411836676e-21	0.354269700500706	0.35	0.133	3.45993623514166e-17
Dstn	2.99743793025237e-21	0.47294407259778	0.405	0.169	4.01986400826146e-17
Rcn3	3.16820745456183e-21	-1.20387069870272	0.016	0.29	4.24888301731287e-17
Mdm2	3.23860890969495e-21	0.830672859088418	0.712	0.519	4.34329840879189e-17
Psmd14	3.41842365402294e-21	0.490408092937316	0.479	0.217	4.58444796241016e-17
