p_val	avg_logFC	pct.1	pct.2	p_val_adj
Pcolce	1.78005790339766e-38	-1.44929541800854	0.042	0.319	2.38723565424661e-34
Spon1	1.88765380931105e-38	-1.55436352729722	0.032	0.312	2.53153252366705e-34
Rhou	2.01738989851982e-38	0.487479183108154	0.404	0.159	2.70552159290493e-34
Npc2	2.89315440116375e-38	-0.823586638113327	0.602	0.73	3.88000936740071e-34
Laptm5	2.95249379886059e-38	-1.84927745196244	0.03	0.307	3.95958943365193e-34
Trim47	3.7567345565487e-38	0.542220701433911	0.44	0.185	5.03815671378747e-34
Fbn1	7.0742790619694e-38	-1.67261269290408	0.069	0.345	9.48731565000716e-34
Usp6nl	7.35407042828321e-38	0.405729412791978	0.265	0.074	9.86254385137061e-34
Hip1r	8.51296730428921e-38	0.342080082993779	0.319	0.101	1.14167404517823e-33
Cfh	9.76532554769686e-38	-1.02614452152801	0.012	0.282	1.30962780920163e-33
Ndufa4	1.47995557863264e-37	0.483521402462687	0.646	0.375	1.98476842650423e-33
Aim1	1.76298467831742e-37	0.342048285329525	0.317	0.099	2.36433875209149e-33
Scarb1	2.22905046550172e-37	0.441226474533457	0.291	0.089	2.98937957928436e-33
Antxr1	2.96410558204337e-37	-1.06342508001318	0.008	0.273	3.97516199607837e-33
Isyna1	1.00196720573059e-36	0.503129327265708	0.495	0.227	1.34373821960529e-32
Tecr	1.90407212944877e-36	0.492511529997066	0.64	0.366	2.55355113280374e-32
Loxl2	2.49652663545773e-36	-1.12824277738108	0.016	0.278	3.34809187081236e-32
Tgfbi	2.7389644055215e-36	-1.39819038519228	0.044	0.315	3.67322516424489e-32
Rnf167	3.08488705387542e-36	0.300635288772525	0.303	0.094	4.13714202795232e-32
Abtb2	3.19167293906643e-36	0.40232893535157	0.4	0.159	4.28035257858199e-32
Shb	3.48722931986652e-36	0.454574202942952	0.404	0.16	4.67672324087299e-32
Ifi27	3.63964915359345e-36	0.524423775061318	0.592	0.323	4.88113347988417e-32
Sh3bgrl3	3.72469941924417e-36	-0.877080105612297	0.321	0.567	4.99519439114836e-32
Basp1	5.83802431911209e-36	0.409941710168175	0.786	0.52	7.82937441436123e-32
Ptprk	7.28357422079328e-36	0.49073205618186	0.374	0.141	9.76800138750587e-32
Pla1a	7.81344694487502e-36	-1.10020192160616	0.02	0.282	1.04786136977719e-31
Pacsin3	8.73751978134734e-36	0.50647753209368	0.376	0.143	1.17178877787649e-31
Csad	1.66384069514752e-35	0.417215042519028	0.327	0.114	2.23137675626234e-31
Socs5	2.06646076329143e-35	0.56350841369949	0.426	0.188	2.77133052965013e-31
Lrrc15	2.23098950783957e-35	-1.56838923286838	0.004	0.256	2.99198002896365e-31
C77080	2.242107658236e-35	0.429283663811794	0.43	0.18	3.0068905804603e-31
Thbs2	2.72083694315551e-35	-2.21402612243794	0.093	0.353	3.64891442446586e-31
Nbl1	2.85523088359994e-35	-1.05517361247336	0.115	0.387	3.82915013799589e-31
Slc20a1	2.90228227455374e-35	0.529626878542879	0.762	0.515	3.89225075840402e-31
Errfi1	4.07646016430218e-35	0.599956243171992	0.739	0.478	5.46694072634565e-31
